name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Leon Grill,Bangalore,Ashok Nagar,4.4,1000+ ratings,['Arabian' 'Beverages' 'Desserts' 'American'],₹400 FOR TWO,32.0,False,Leon Grill.House of LordsNo;16/1 Shop No;3 Ground Floor.St Mark's Rd Bangalore 560001.,Non-Veg,Medium,Restaurant: Leon Grill. Area: Ashok Nagar. Cuisine: ['Arabian' 'Beverages' 'Desserts' 'American']. Budget: Medium. Rating: 4.4. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 32.0 mins. Address: Leon Grill.House of LordsNo;16/1 Shop No;3 Ground Floor.St Mark's Rd Bangalore 560001..
Edesia by Freshmenu,Bangalore,Richmond Town,--,Too Few Ratings,['Desserts' 'Bakery' 'Sweets'],₹150 FOR TWO,35.0,False,MAH QUDDUS4th floorNo 2AGA Abdullah streetRichmond StreetJohnson MarketBanglore:560025,Non-Veg,Low,Restaurant: Edesia by Freshmenu. Area: Richmond Town. Cuisine: ['Desserts' 'Bakery' 'Sweets']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: MAH QUDDUS4th floorNo 2AGA Abdullah streetRichmond StreetJohnson MarketBanglore:560025.
Amulya Veg Restaurant,Bangalore,Gandhi Nagar,--,Too Few Ratings,['Chinese' 'Continental' 'Jain' 'North Indian' 'South Indian'],₹350 FOR TWO,39.0,True,274 S C Road Gandhinagar Bangalore 560009,Veg,Medium,Restaurant: Amulya Veg Restaurant. Area: Gandhi Nagar. Cuisine: ['Chinese' 'Continental' 'Jain' 'North Indian' 'South Indian']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 39.0 mins. Address: 274 S C Road Gandhinagar Bangalore 560009.
homely,Bangalore,Koramangala,4.3,1000+ ratings,['Home Food' 'North Indian' 'South Indian' 'Beverages' 'Chettinad' 'Combo' 'Desserts' 'Hyderabadi' 'Indian' 'Lucknowi' 'Maharashtrian' 'Mangalorean' 'Punjabi' 'Rajasthani' 'Snacks' 'Sweets' 'Thalis'],₹200 FOR TWO,52.0,False,No 897/E 80ft. Road landmark: perfect Yamaha showroom 6th Block  2nd floor Koramangala Banglore-95,Non-Veg,Low,Restaurant: homely. Area: Koramangala. Cuisine: ['Home Food' 'North Indian' 'South Indian' 'Beverages' 'Chettinad' 'Combo' 'Desserts' 'Hyderabadi' 'Indian' 'Lucknowi' 'Maharashtrian' 'Mangalorean' 'Punjabi' 'Rajasthani' 'Snacks' 'Sweets' 'Thalis']. Budget: Low. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 52.0 mins. Address: No 897/E 80ft. Road landmark: perfect Yamaha showroom 6th Block  2nd floor Koramangala Banglore-95.
Hotel Navayuga,Bangalore,Majestic,4.3,100+ ratings,['Andhra'],₹400 FOR TWO,35.0,False,1 Aparna Theater Shopping Complex SC Road,Non-Veg,Medium,Restaurant: Hotel Navayuga. Area: Majestic. Cuisine: ['Andhra']. Budget: Medium. Rating: 4.3. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: 1 Aparna Theater Shopping Complex SC Road.
The Pizza Bakery,Bangalore,Ashok Nagar,4.4,500+ ratings,['Italian' 'Pizzas' 'Pastas' 'Desserts'],₹700 FOR TWO,36.0,False,The Pizza Bakery 86 Spenser Building Church Street Bangalore 560001,Non-Veg,High,Restaurant: The Pizza Bakery. Area: Ashok Nagar. Cuisine: ['Italian' 'Pizzas' 'Pastas' 'Desserts']. Budget: High. Rating: 4.4. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 36.0 mins. Address: The Pizza Bakery 86 Spenser Building Church Street Bangalore 560001.
Beijing Bites,Bangalore,Ashok Nagar,4.2,500+ ratings,['Chinese'],₹450 FOR TWO,33.0,False,Sigma Trident Ground Floor 11/2 Hayes Road Off Richmond RoadBangalore 560025,Non-Veg,Medium,Restaurant: Beijing Bites. Area: Ashok Nagar. Cuisine: ['Chinese']. Budget: Medium. Rating: 4.2. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: Sigma Trident Ground Floor 11/2 Hayes Road Off Richmond RoadBangalore 560025.
KA01,Bangalore,Sampangi Rama Nagar,--,Too Few Ratings,['North Indian'],₹400 FOR TWO,34.0,False,Plot No 30 Raja Ram Mohan Roy Rd Sampangi Rama Nagara Bengaluru Karnataka 560027,Non-Veg,Medium,Restaurant: KA01. Area: Sampangi Rama Nagar. Cuisine: ['North Indian']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 34.0 mins. Address: Plot No 30 Raja Ram Mohan Roy Rd Sampangi Rama Nagara Bengaluru Karnataka 560027.
Kabab Magic,Bangalore,Richmond Town,3.3,100+ ratings,['North Indian' 'Chinese'],₹400 FOR TWO,32.0,False,17 Opposite Fatima Bakery Hosur Road Richmond Town Bangalore,Non-Veg,Medium,Restaurant: Kabab Magic. Area: Richmond Town. Cuisine: ['North Indian' 'Chinese']. Budget: Medium. Rating: 3.3. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 32.0 mins. Address: 17 Opposite Fatima Bakery Hosur Road Richmond Town Bangalore.
KFC,Bangalore,Ganganagar,3.9,1000+ ratings,['American' 'Fast Food' 'Snacks'],₹400 FOR TWO,53.0,False,No 177 Main Road RT Nagar Opposite BATA Showroom Bengaluru Karnataka 560034,Non-Veg,Medium,Restaurant: KFC. Area: Ganganagar. Cuisine: ['American' 'Fast Food' 'Snacks']. Budget: Medium. Rating: 3.9. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 53.0 mins. Address: No 177 Main Road RT Nagar Opposite BATA Showroom Bengaluru Karnataka 560034.
