name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Kekiz - The Cake Shop,Chennai,Purasaiwakkam,--,Too Few Ratings,['Bakery' 'Desserts' 'Beverages'],₹200 FOR TWO,44.0,False,New no.36 old no.27 Ground floor Kariyappa St Purasaiwakkam Chennai Tamil Nadu 600007,Non-Veg,Low,Restaurant: Kekiz - The Cake Shop. Area: Purasaiwakkam. Cuisine: ['Bakery' 'Desserts' 'Beverages']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 44.0 mins. Address: New no.36 old no.27 Ground floor Kariyappa St Purasaiwakkam Chennai Tamil Nadu 600007.
Moonlight Takeaway & Delivery,Chennai,T. Nagar,4,1000+ ratings,['Indian' 'Chinese' 'Tandoor'],₹250 FOR TWO,66.0,False,1/7 Gopalakrishna Street Pondy Bazaar T. Nagar Chennai,Non-Veg,Low,Restaurant: Moonlight Takeaway & Delivery. Area: T. Nagar. Cuisine: ['Indian' 'Chinese' 'Tandoor']. Budget: Low. Rating: 4. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 66.0 mins. Address: 1/7 Gopalakrishna Street Pondy Bazaar T. Nagar Chennai.
Sangeetha Veg Restaurant,Chennai,Egmore,4.4,1000+ ratings,['North Indian' 'Chinese' 'South Indian'],₹150 FOR TWO,31.0,True,Shop No: 21 Gandhi Irwin Road Egmore Chennai Tamil Nadu 600008,Veg,Low,Restaurant: Sangeetha Veg Restaurant. Area: Egmore. Cuisine: ['North Indian' 'Chinese' 'South Indian']. Budget: Low. Rating: 4.4. Reviews: 1000+ ratings. Diet: Veg. Delivery: 31.0 mins. Address: Shop No: 21 Gandhi Irwin Road Egmore Chennai Tamil Nadu 600008.
KFC,Chennai,Old Washermanpet,4.1,1000+ ratings,['American' 'Snacks'],₹400 FOR TWO,59.0,False,Shop/ Unit No 124SN Chetty Street Opposite to Kalmandapam Chennai Tamilnadu 600013.,Non-Veg,Medium,Restaurant: KFC. Area: Old Washermanpet. Cuisine: ['American' 'Snacks']. Budget: Medium. Rating: 4.1. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 59.0 mins. Address: Shop/ Unit No 124SN Chetty Street Opposite to Kalmandapam Chennai Tamilnadu 600013..
Tasty Kitchen,Chennai,Perambur,4.2,1000+ ratings,['Biryani' 'South Indian' 'Chinese' 'Fast Food' 'North Indian'],₹300 FOR TWO,62.0,False,135A SRP colony main road perambur chennai- 82,Non-Veg,Medium,Restaurant: Tasty Kitchen. Area: Perambur. Cuisine: ['Biryani' 'South Indian' 'Chinese' 'Fast Food' 'North Indian']. Budget: Medium. Rating: 4.2. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 62.0 mins. Address: 135A SRP colony main road perambur chennai- 82.
Pally Tastei Food (Perambur),Chennai,Chennai,3.9,1000+ ratings,['Chinese' 'North Indian' 'South Indian'],₹250 FOR TWO,53.0,False,33 Siruvalluvar Main Road Opposite St Josephs Convent School Perambur Chennai,Non-Veg,Low,Restaurant: Pally Tastei Food (Perambur). Area: Chennai. Cuisine: ['Chinese' 'North Indian' 'South Indian']. Budget: Low. Rating: 3.9. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 53.0 mins. Address: 33 Siruvalluvar Main Road Opposite St Josephs Convent School Perambur Chennai.
Sri Paarvathi Bavan Ssweets and Veg Restaurant,Chennai,Saligramam,4,1000+ ratings,['Sweets' 'South Indian' 'North Indian' 'Chinese' 'Snacks'],₹150 FOR TWO,79.0,True,33 Sri Narayan Building Opposite SSR Pankajam Theatre Arunachalam Road Saligramam Chennai,Veg,Low,Restaurant: Sri Paarvathi Bavan Ssweets and Veg Restaurant. Area: Saligramam. Cuisine: ['Sweets' 'South Indian' 'North Indian' 'Chinese' 'Snacks']. Budget: Low. Rating: 4. Reviews: 1000+ ratings. Diet: Veg. Delivery: 79.0 mins. Address: 33 Sri Narayan Building Opposite SSR Pankajam Theatre Arunachalam Road Saligramam Chennai.
Halal Kattu Biryani,Chennai,Arumbakkam,4.1,500+ ratings,['Indian' 'Biryani' 'Chinese'],₹250 FOR TWO,62.0,False,516 NSK Nagar 3rd Avenue Arumbakkam Chennai,Non-Veg,Low,Restaurant: Halal Kattu Biryani. Area: Arumbakkam. Cuisine: ['Indian' 'Biryani' 'Chinese']. Budget: Low. Rating: 4.1. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 62.0 mins. Address: 516 NSK Nagar 3rd Avenue Arumbakkam Chennai.
Oven Story Pizza,Chennai,Purasaiwakkam,4.1,100+ ratings,['Pizzas'],₹600 FOR TWO,51.0,False,No 178(127/D)First floor Brickklin RoadPurasaiwakkam Chennai 600007,Non-Veg,High,Restaurant: Oven Story Pizza. Area: Purasaiwakkam. Cuisine: ['Pizzas']. Budget: High. Rating: 4.1. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 51.0 mins. Address: No 178(127/D)First floor Brickklin RoadPurasaiwakkam Chennai 600007.
Shree Mithai,Chennai,Chetpet,4.5,1000+ ratings,['Desserts' 'Street Food' 'Chaat'],₹250 FOR TWO,37.0,True,18 Dr T.V Road Chetpet Chennai - 600031,Veg,Low,Restaurant: Shree Mithai. Area: Chetpet. Cuisine: ['Desserts' 'Street Food' 'Chaat']. Budget: Low. Rating: 4.5. Reviews: 1000+ ratings. Diet: Veg. Delivery: 37.0 mins. Address: 18 Dr T.V Road Chetpet Chennai - 600031.
A2B Veg,Chennai,Purasaiwakkam,4.3,1000+ ratings,['South Indian' 'North Indian' 'Sweets' 'Chinese'],₹300 FOR TWO,35.0,True,50 51 & 52 Purasai High Road Purasavakkam Chennai,Veg,Medium,Restaurant: A2B Veg. Area: Purasaiwakkam. Cuisine: ['South Indian' 'North Indian' 'Sweets' 'Chinese']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Veg. Delivery: 35.0 mins. Address: 50 51 & 52 Purasai High Road Purasavakkam Chennai.
McDonald's,Chennai,Anna Salai,4.3,1000+ ratings,['American' 'Fast Food'],₹400 FOR TWO,38.0,False,Hardcastle Restaurants Pvt Ltd McDonalds Family RestaurantsSpencers Plaza No.769 Ground floorPhase I AnnasalaiChennai ? 600002,Non-Veg,Medium,Restaurant: McDonald's. Area: Anna Salai. Cuisine: ['American' 'Fast Food']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 38.0 mins. Address: Hardcastle Restaurants Pvt Ltd McDonalds Family RestaurantsSpencers Plaza No.769 Ground floorPhase I AnnasalaiChennai ? 600002.
Babal Da Punjabi Dabha,Chennai,Egmore,4.3,1000+ ratings,['North Indian' 'Punjabi' 'Indian' 'Thalis' 'Kebabs'],₹500 FOR TWO,37.0,False,No 114/9Poonamalle high road OPP to Abu sarovar Portico Chennai 600084,Non-Veg,Medium,Restaurant: Babal Da Punjabi Dabha. Area: Egmore. Cuisine: ['North Indian' 'Punjabi' 'Indian' 'Thalis' 'Kebabs']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 37.0 mins. Address: No 114/9Poonamalle high road OPP to Abu sarovar Portico Chennai 600084.
The Bowl Company,Chennai,Gopalapuram,4.2,5000+ ratings,['Continental' 'North Indian' 'Pan-Asian' 'Desserts' 'American' 'Asian' 'Beverages' 'Biryani' 'Chinese' 'Combo' 'European' 'Grill' 'Hyderabadi' 'Indian' 'Italian' 'Kebabs' 'Lucknowi' 'Mediterranean' 'Mexican' 'Mughlai' 'Oriental' 'Pastas' 'Punjab'],₹300 FOR TWO,55.0,False,2nd Floor Raj Complex Door No: 240 Lloyds RoadGopalapuram Chennai-600086,Non-Veg,Medium,Restaurant: The Bowl Company. Area: Gopalapuram. Cuisine: ['Continental' 'North Indian' 'Pan-Asian' 'Desserts' 'American' 'Asian' 'Beverages' 'Biryani' 'Chinese' 'Combo' 'European' 'Grill' 'Hyderabadi' 'Indian' 'Italian' 'Kebabs' 'Lucknowi' 'Mediterranean' 'Mexican' 'Mughlai' 'Oriental' 'Pastas' 'Punjab']. Budget: Medium. Rating: 4.2. Reviews: 5000+ ratings. Diet: Non-Veg. Delivery: 55.0 mins. Address: 2nd Floor Raj Complex Door No: 240 Lloyds RoadGopalapuram Chennai-600086.
