name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Wah ji Wah ( budhvihar),Delhi,Budh Vihar,3.8,1000+ ratings,['Indian' 'Chinese'],₹250 FOR TWO,21.0,False,A1/36 surya market Budhvihar phase -1Main kanjhawala road  near anubhav Vatika,Non-Veg,Low,Restaurant: Wah ji Wah ( budhvihar). Area: Budh Vihar. Cuisine: ['Indian' 'Chinese']. Budget: Low. Rating: 3.8. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 21.0 mins. Address: A1/36 surya market Budhvihar phase -1Main kanjhawala road  near anubhav Vatika.
Wah Bhai Wah,Delhi,Sector 4 Rohini,3.8,500+ ratings,['North Indian' 'Chinese' 'Tandoor' 'Beverages'],₹200 FOR TWO,27.0,True,A 1/168 & 169 Sector 4 Rohini New Delhi,Veg,Low,Restaurant: Wah Bhai Wah. Area: Sector 4 Rohini. Cuisine: ['North Indian' 'Chinese' 'Tandoor' 'Beverages']. Budget: Low. Rating: 3.8. Reviews: 500+ ratings. Diet: Veg. Delivery: 27.0 mins. Address: A 1/168 & 169 Sector 4 Rohini New Delhi.
Burger King,Delhi,Rohini,4.3,1000+ ratings,['American' 'Fast Food'],₹350 FOR TWO,35.0,False,Unit 21-24 Ground Floor D Mall Twin District Center Rohini New Delhi,Non-Veg,Medium,Restaurant: Burger King. Area: Rohini. Cuisine: ['American' 'Fast Food']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: Unit 21-24 Ground Floor D Mall Twin District Center Rohini New Delhi.
Behrouz Biryani,Delhi,Rohini,4.2,500+ ratings,['Biryani' 'Mughlai' 'Lucknowi' 'Hyderabadi' 'Kebabs' 'North Indian' 'Persian' 'Desserts'],₹500 FOR TWO,38.0,False,Plot 8 Ground Floor Sachdeva Tower Sector 8 Rohini New Delhi 110085,Non-Veg,Medium,Restaurant: Behrouz Biryani. Area: Rohini. Cuisine: ['Biryani' 'Mughlai' 'Lucknowi' 'Hyderabadi' 'Kebabs' 'North Indian' 'Persian' 'Desserts']. Budget: Medium. Rating: 4.2. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 38.0 mins. Address: Plot 8 Ground Floor Sachdeva Tower Sector 8 Rohini New Delhi 110085.
Nivetha Dosa Corner,Delhi,Rohini,4.1,100+ ratings,['South Indian'],₹150 FOR TWO,31.0,True,Shop 349 Block A 1 Dividing Road 6 & 7 Rohini New Delhi,Veg,Low,Restaurant: Nivetha Dosa Corner. Area: Rohini. Cuisine: ['South Indian']. Budget: Low. Rating: 4.1. Reviews: 100+ ratings. Diet: Veg. Delivery: 31.0 mins. Address: Shop 349 Block A 1 Dividing Road 6 & 7 Rohini New Delhi.
Pizzallo Hot,Delhi,Sector 3 Rohini,3,20+ ratings,['Italian' 'Pizzas'],₹400 FOR TWO,27.0,True,F 22/1 Rohini Sector 3 Near Gopal Chole Bhature,Veg,Medium,Restaurant: Pizzallo Hot. Area: Sector 3 Rohini. Cuisine: ['Italian' 'Pizzas']. Budget: Medium. Rating: 3. Reviews: 20+ ratings. Diet: Veg. Delivery: 27.0 mins. Address: F 22/1 Rohini Sector 3 Near Gopal Chole Bhature.
Kwality Walls Frozen Dessert & Ice Cream Shop,Delhi,Pitam Pura,4.6,500+ ratings,['Desserts' 'Ice Cream'],₹100 FOR TWO,29.0,True,JMS enterprises GF 26-c Pritmpura Near Agarsen Bhawan North West Delhi-110034,Veg,Low,Restaurant: Kwality Walls Frozen Dessert & Ice Cream Shop. Area: Pitam Pura. Cuisine: ['Desserts' 'Ice Cream']. Budget: Low. Rating: 4.6. Reviews: 500+ ratings. Diet: Veg. Delivery: 29.0 mins. Address: JMS enterprises GF 26-c Pritmpura Near Agarsen Bhawan North West Delhi-110034.
Kushal Bhojnalaya,Delhi,Sector 2 Rohini,4.2,100+ ratings,['North Indian'],₹200 FOR TWO,29.0,True,S 6 14  CSC 4  DDA Market  Sector 2  Rohini  New Delhi,Veg,Low,Restaurant: Kushal Bhojnalaya. Area: Sector 2 Rohini. Cuisine: ['North Indian']. Budget: Low. Rating: 4.2. Reviews: 100+ ratings. Diet: Veg. Delivery: 29.0 mins. Address: S 6 14  CSC 4  DDA Market  Sector 2  Rohini  New Delhi.
Your's Pizza,Delhi,Sector 2 Rohini,3.5,100+ ratings,['Italian'],₹400 FOR TWO,29.0,False,283AMangolpur KalanSector-2RohiniDelhi-110085,Non-Veg,Medium,Restaurant: Your's Pizza. Area: Sector 2 Rohini. Cuisine: ['Italian']. Budget: Medium. Rating: 3.5. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 29.0 mins. Address: 283AMangolpur KalanSector-2RohiniDelhi-110085.
Pooran's Ambala Wale,Delhi,Sector 14 Rohini,4,100+ ratings,['North Indian' 'Chinese'],₹250 FOR TWO,48.0,False,G12 RG Complex 2prashant viharsect 14 near balaji mandir New Delhi,Non-Veg,Low,Restaurant: Pooran's Ambala Wale. Area: Sector 14 Rohini. Cuisine: ['North Indian' 'Chinese']. Budget: Low. Rating: 4. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 48.0 mins. Address: G12 RG Complex 2prashant viharsect 14 near balaji mandir New Delhi.
