name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
McDonald's,Hyderabad,Himayatnagar,4.2,1000+ ratings,['American' 'Fast Food'],₹400 FOR TWO,33.0,False,House # 3- 6- 562 Adjacent to Alto Trade CenterHimayat Nagar Hyderabad- 500029,Non-Veg,Medium,Restaurant: McDonald's. Area: Himayatnagar. Cuisine: ['American' 'Fast Food']. Budget: Medium. Rating: 4.2. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: House # 3- 6- 562 Adjacent to Alto Trade CenterHimayat Nagar Hyderabad- 500029.
Bawarchi,Hyderabad,New Nallakunta,3.9,10000+ ratings,['Biryani' 'Tandoor' 'Chinese' 'Indian' 'Desserts' 'Kebabs' 'Mughlai'],₹300 FOR TWO,27.0,False,Beside Astoria Hotel RTC Cross Road Chikkadpally Nallakunta Hyderabad,Non-Veg,Medium,Restaurant: Bawarchi. Area: New Nallakunta. Cuisine: ['Biryani' 'Tandoor' 'Chinese' 'Indian' 'Desserts' 'Kebabs' 'Mughlai']. Budget: Medium. Rating: 3.9. Reviews: 10000+ ratings. Diet: Non-Veg. Delivery: 27.0 mins. Address: Beside Astoria Hotel RTC Cross Road Chikkadpally Nallakunta Hyderabad.
Mehfil,Hyderabad,Narayanguda,3.9,10000+ ratings,['Biryani' 'Tandoor' 'Chinese' 'Indian' 'Kebabs' 'Desserts'],₹300 FOR TWO,25.0,False,Near Narayanguda Flyover Narayanguda Hyderabad,Non-Veg,Medium,Restaurant: Mehfil. Area: Narayanguda. Cuisine: ['Biryani' 'Tandoor' 'Chinese' 'Indian' 'Kebabs' 'Desserts']. Budget: Medium. Rating: 3.9. Reviews: 10000+ ratings. Diet: Non-Veg. Delivery: 25.0 mins. Address: Near Narayanguda Flyover Narayanguda Hyderabad.
KFC,Hyderabad,Lnt Mall Musarambagh,4,1000+ ratings,['American' 'Fast Food' 'Snacks'],₹400 FOR TWO,35.0,False,Unit No. L5-0102 &03 New Malakpet  Moosarambagh Hyderabad Telangana 500036,Non-Veg,Medium,Restaurant: KFC. Area: Lnt Mall Musarambagh. Cuisine: ['American' 'Fast Food' 'Snacks']. Budget: Medium. Rating: 4. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: Unit No. L5-0102 &03 New Malakpet  Moosarambagh Hyderabad Telangana 500036.
Lucky Restaurant,Hyderabad,Chintal,4,10000+ ratings,['Biryani' 'Tandoor' 'Chinese' 'North Indian' 'Desserts' 'Kebabs' 'Mughlai'],₹300 FOR TWO,38.0,False,Dana Chambers Saifabad Rd Sham Nagar Colony Chintal Hyderabad Telangana 500004,Non-Veg,Medium,Restaurant: Lucky Restaurant. Area: Chintal. Cuisine: ['Biryani' 'Tandoor' 'Chinese' 'North Indian' 'Desserts' 'Kebabs' 'Mughlai']. Budget: Medium. Rating: 4. Reviews: 10000+ ratings. Diet: Non-Veg. Delivery: 38.0 mins. Address: Dana Chambers Saifabad Rd Sham Nagar Colony Chintal Hyderabad Telangana 500004.
Hotel Niagara,Hyderabad,Gowliguda,3.9,1000+ ratings,['Haleem' 'Arabian' 'Biryani' 'Tandoor' 'Chinese' 'Indian' 'Desserts' 'Kebabs' 'Mughlai'],₹450 FOR TWO,23.0,False,Opposite Thumbay Hospital Chaderghat Circle,Non-Veg,Medium,Restaurant: Hotel Niagara. Area: Gowliguda. Cuisine: ['Haleem' 'Arabian' 'Biryani' 'Tandoor' 'Chinese' 'Indian' 'Desserts' 'Kebabs' 'Mughlai']. Budget: Medium. Rating: 3.9. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 23.0 mins. Address: Opposite Thumbay Hospital Chaderghat Circle.
Shah Ghouse Cafe & Restaurant,Hyderabad,Hyderabad,4.1,5000+ ratings,['Biryani' 'Chinese' 'Tandoor' 'Mughlai' 'North Indian'],₹350 FOR TWO,47.0,False,6-2-971LakdikapoolHyd,Non-Veg,Medium,Restaurant: Shah Ghouse Cafe & Restaurant. Area: Hyderabad. Cuisine: ['Biryani' 'Chinese' 'Tandoor' 'Mughlai' 'North Indian']. Budget: Medium. Rating: 4.1. Reviews: 5000+ ratings. Diet: Non-Veg. Delivery: 47.0 mins. Address: 6-2-971LakdikapoolHyd.
Minerva Coffee Shop,Hyderabad,Himayatnagar,4.3,1000+ ratings,['South Indian' 'North Indian' 'Chinese'],₹500 FOR TWO,30.0,False,3-6-199/1 Opp Brand Factory Himayath Nagar,Non-Veg,Medium,Restaurant: Minerva Coffee Shop. Area: Himayatnagar. Cuisine: ['South Indian' 'North Indian' 'Chinese']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 30.0 mins. Address: 3-6-199/1 Opp Brand Factory Himayath Nagar.
Grand Hotel,Hyderabad,Koti,4.1,10000+ ratings,['Biryani' 'Tandoor' 'Chinese' 'Indian' 'Kebabs' 'Desserts'],₹300 FOR TWO,24.0,False,Opposite Big Bazaar 4-1-395Abids Road Hyderabad,Non-Veg,Medium,Restaurant: Grand Hotel. Area: Koti. Cuisine: ['Biryani' 'Tandoor' 'Chinese' 'Indian' 'Kebabs' 'Desserts']. Budget: Medium. Rating: 4.1. Reviews: 10000+ ratings. Diet: Non-Veg. Delivery: 24.0 mins. Address: Opposite Big Bazaar 4-1-395Abids Road Hyderabad.
Balaji Family Dhaba & Caterers,Hyderabad,New Nallakunta,3.9,1000+ ratings,['North Indian' 'Chinese'],₹450 FOR TWO,33.0,True,1-8-720/1 Opp. Axis BankVegetable Market Nallakunta Hyderabad,Veg,Medium,Restaurant: Balaji Family Dhaba & Caterers. Area: New Nallakunta. Cuisine: ['North Indian' 'Chinese']. Budget: Medium. Rating: 3.9. Reviews: 1000+ ratings. Diet: Veg. Delivery: 33.0 mins. Address: 1-8-720/1 Opp. Axis BankVegetable Market Nallakunta Hyderabad.
