name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Acs Chinese Flavour,Kolkata,Taltala,4,500+ ratings,['Chinese'],₹300 FOR TWO,45.0,False,8 Eliot Road Taltala Kolkata West Bengal India,Non-Veg,Medium,Restaurant: Acs Chinese Flavour. Area: Taltala. Cuisine: ['Chinese']. Budget: Medium. Rating: 4. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 45.0 mins. Address: 8 Eliot Road Taltala Kolkata West Bengal India.
Mughal Arsalan Biryani,Kolkata,College Square,4,5000+ ratings,['Indian' 'Biryani'],₹200 FOR TWO,31.0,False,112 b mahatma gandhi road,Non-Veg,Low,Restaurant: Mughal Arsalan Biryani. Area: College Square. Cuisine: ['Indian' 'Biryani']. Budget: Low. Rating: 4. Reviews: 5000+ ratings. Diet: Non-Veg. Delivery: 31.0 mins. Address: 112 b mahatma gandhi road.
NEW ARSALAAN'S KITCHEN,Kolkata,Burrabazar,--,Too Few Ratings,['Indian' 'Snacks'],₹100 FOR TWO,37.0,False,5/H/14 Achambit Shah Road,Non-Veg,Low,Restaurant: NEW ARSALAAN'S KITCHEN. Area: Burrabazar. Cuisine: ['Indian' 'Snacks']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 37.0 mins. Address: 5/H/14 Achambit Shah Road.
Silver Spoon,Kolkata,Taltala,3.9,100+ ratings,['Chinese' 'Tibetan'],₹400 FOR TWO,52.0,False,35/1A McLeod Street  Kolkata 700017,Non-Veg,Medium,Restaurant: Silver Spoon. Area: Taltala. Cuisine: ['Chinese' 'Tibetan']. Budget: Medium. Rating: 3.9. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 52.0 mins. Address: 35/1A McLeod Street  Kolkata 700017.
MAHAL RESTAURANT,Kolkata,Burrabazar,--,Too Few Ratings,['Bengali' 'Indian'],₹200 FOR TWO,41.0,False,6/3 RAMANATH MAZUMDER STREET WARD NO-40 KOLKATA 700009,Non-Veg,Low,Restaurant: MAHAL RESTAURANT. Area: Burrabazar. Cuisine: ['Bengali' 'Indian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 41.0 mins. Address: 6/3 RAMANATH MAZUMDER STREET WARD NO-40 KOLKATA 700009.
Bindass Food Plaza,Kolkata,College Square,4.5,20+ ratings,['Indian' 'Chinese' 'Tandoor'],₹200 FOR TWO,36.0,False,18 College Street College Street Kolkata,Non-Veg,Low,Restaurant: Bindass Food Plaza. Area: College Square. Cuisine: ['Indian' 'Chinese' 'Tandoor']. Budget: Low. Rating: 4.5. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 36.0 mins. Address: 18 College Street College Street Kolkata.
New Noodle King,Kolkata,Taltala,4,100+ ratings,['Chinese' 'Seafood'],₹300 FOR TWO,53.0,False,51RAFI AHMED KIDWAI ROADKOLKATA-700016,Non-Veg,Medium,Restaurant: New Noodle King. Area: Taltala. Cuisine: ['Chinese' 'Seafood']. Budget: Medium. Rating: 4. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 53.0 mins. Address: 51RAFI AHMED KIDWAI ROADKOLKATA-700016.
Royal Indian Hotel,Kolkata,Barabazar Market,4.3,1000+ ratings,['North Indian' 'Biryani' 'Mughlai'],₹450 FOR TWO,36.0,False,147 Rabindra Sarani Bara Bazar Kolkata,Non-Veg,Medium,Restaurant: Royal Indian Hotel. Area: Barabazar Market. Cuisine: ['North Indian' 'Biryani' 'Mughlai']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 36.0 mins. Address: 147 Rabindra Sarani Bara Bazar Kolkata.
Mio Amore - The Cake Shop,Kolkata,Tiretti,4.6,100+ ratings,['Desserts' 'Bakery' 'Snacks'],₹150 FOR TWO,35.0,False,83 CHITTARANJAN AVENUE  KOLKATA 700073 NEAR CENTRAL METRO STATION GATE NUMBER 5,Non-Veg,Low,Restaurant: Mio Amore - The Cake Shop. Area: Tiretti. Cuisine: ['Desserts' 'Bakery' 'Snacks']. Budget: Low. Rating: 4.6. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: 83 CHITTARANJAN AVENUE  KOLKATA 700073 NEAR CENTRAL METRO STATION GATE NUMBER 5.
Caafe 360 Degree- Kakurgachi,Kolkata,Kankurgachi,3.9,100+ ratings,['Italian' 'Chinese'],₹500 FOR TWO,59.0,False,P148/A C.I.T. Road Kankurgachi Kolkata,Non-Veg,Medium,Restaurant: Caafe 360 Degree- Kakurgachi. Area: Kankurgachi. Cuisine: ['Italian' 'Chinese']. Budget: Medium. Rating: 3.9. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 59.0 mins. Address: P148/A C.I.T. Road Kankurgachi Kolkata.
Kwality Walls Frozen Dessert and Ice Cream Shop,Kolkata,Central Kolkata,--,Too Few Ratings,['Ice Cream'],₹300 FOR TWO,45.0,False,LAXMI SHAW AND SONS: 113/H/12 BEPIN BEHARI GANGULY STREET BOROUGH-V KOLKATA(W.B)-700012,Non-Veg,Medium,Restaurant: Kwality Walls Frozen Dessert and Ice Cream Shop. Area: Central Kolkata. Cuisine: ['Ice Cream']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 45.0 mins. Address: LAXMI SHAW AND SONS: 113/H/12 BEPIN BEHARI GANGULY STREET BOROUGH-V KOLKATA(W.B)-700012.
