name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Indigo Grill,Mumbai,Chembur,3.9,500+ ratings,['North Indian' 'Chinese' 'Mughlai' 'Biryani' 'Tandoor' 'Combo'],₹400 FOR TWO,44.0,False,112-2-2 S.G. Barve Marg Opposite Swastik Chambers Chembur Mumbai,Non-Veg,Medium,Restaurant: Indigo Grill. Area: Chembur. Cuisine: ['North Indian' 'Chinese' 'Mughlai' 'Biryani' 'Tandoor' 'Combo']. Budget: Medium. Rating: 3.9. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 44.0 mins. Address: 112-2-2 S.G. Barve Marg Opposite Swastik Chambers Chembur Mumbai.
Baba Falooda (Kurla),Mumbai,Kurla,4.4,1000+ ratings,['Ice Cream' 'Beverages' 'Desserts'],₹200 FOR TWO,27.0,False,TAYYAB MANZIL  shop no 123 L.B.S Marg KURLA WEST MUMBAI 400070,Non-Veg,Low,Restaurant: Baba Falooda (Kurla). Area: Kurla. Cuisine: ['Ice Cream' 'Beverages' 'Desserts']. Budget: Low. Rating: 4.4. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 27.0 mins. Address: TAYYAB MANZIL  shop no 123 L.B.S Marg KURLA WEST MUMBAI 400070.
Deluxe Restaurant,Mumbai,Kurla,4.2,500+ ratings,['Mughlai' 'Chinese'],₹400 FOR TWO,33.0,False,Mubeen Manzil Near Peninsula Park Lbs Marg Bandra Kurla Complex Mumbai,Non-Veg,Medium,Restaurant: Deluxe Restaurant. Area: Kurla. Cuisine: ['Mughlai' 'Chinese']. Budget: Medium. Rating: 4.2. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: Mubeen Manzil Near Peninsula Park Lbs Marg Bandra Kurla Complex Mumbai.
Sahara Restaurant,Mumbai,Chembur,4,1000+ ratings,['Indian' 'Chinese' 'Tandoor' 'Mughlai' 'Biryani' 'Desserts'],₹300 FOR TWO,37.0,False,12 Opposite Swastik Chambers chembur CST Road Chembur Mumbainear indigo grill,Non-Veg,Medium,Restaurant: Sahara Restaurant. Area: Chembur. Cuisine: ['Indian' 'Chinese' 'Tandoor' 'Mughlai' 'Biryani' 'Desserts']. Budget: Medium. Rating: 4. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 37.0 mins. Address: 12 Opposite Swastik Chambers chembur CST Road Chembur Mumbainear indigo grill.
Rangoon Zaika,Mumbai,Kurla West,3.6,500+ ratings,['Indian' 'Chinese'],₹400 FOR TWO,33.0,False,Shop 4B-4C Opposite Kalpana Cinema Beside Ansari Weight Bridge LBS Marg Kurla Mumbai,Non-Veg,Medium,Restaurant: Rangoon Zaika. Area: Kurla West. Cuisine: ['Indian' 'Chinese']. Budget: Medium. Rating: 3.6. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: Shop 4B-4C Opposite Kalpana Cinema Beside Ansari Weight Bridge LBS Marg Kurla Mumbai.
Pizza Hut,Mumbai,Santacruz East,3.8,500+ ratings,['Pizzas' 'Fast Food'],₹300 FOR TWO,33.0,False,BPCL petrol PumpOpp citi groupBandra Kurla complex,Non-Veg,Medium,Restaurant: Pizza Hut. Area: Santacruz East. Cuisine: ['Pizzas' 'Fast Food']. Budget: Medium. Rating: 3.8. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: BPCL petrol PumpOpp citi groupBandra Kurla complex.
Foodin,Mumbai,Chembur,4,1000+ ratings,['Biryani' 'Chinese' 'Desserts' 'North Indian' 'Tandoor'],₹300 FOR TWO,37.0,False,12 Opposite Swastik Chambers chembur CST Road Chembur Mumbainear indigo grill,Non-Veg,Medium,Restaurant: Foodin. Area: Chembur. Cuisine: ['Biryani' 'Chinese' 'Desserts' 'North Indian' 'Tandoor']. Budget: Medium. Rating: 4. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 37.0 mins. Address: 12 Opposite Swastik Chambers chembur CST Road Chembur Mumbainear indigo grill.
Delhi Drum,Mumbai,Kurla,3.8,100+ ratings,['Mughlai' 'Chinese'],₹300 FOR TWO,35.0,False,Shivaji Kutir Mandal Opp.Equinox Business Park LBS Marg Kurla West - 400070,Non-Veg,Medium,Restaurant: Delhi Drum. Area: Kurla. Cuisine: ['Mughlai' 'Chinese']. Budget: Medium. Rating: 3.8. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: Shivaji Kutir Mandal Opp.Equinox Business Park LBS Marg Kurla West - 400070.
McDonald's,Mumbai,Santacruz East,4.3,1000+ ratings,['American'],₹400 FOR TWO,34.0,False,Hardcastle Restaurants Pvt Ltd McDonalds Family Restaurants Pvt Ltd Sumit Artista G-28 Vidya Nagari Rd Mathuradas Colony Kalina Santacruz East Mumbai Maharashtra 400098.,Non-Veg,Medium,Restaurant: McDonald's. Area: Santacruz East. Cuisine: ['American']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 34.0 mins. Address: Hardcastle Restaurants Pvt Ltd McDonalds Family Restaurants Pvt Ltd Sumit Artista G-28 Vidya Nagari Rd Mathuradas Colony Kalina Santacruz East Mumbai Maharashtra 400098..
Meraki,Mumbai,Santacruz East,4.1,1000+ ratings,['Chinese' 'Burmese' 'Thai' 'Beverages' 'Thalis'],₹500 FOR TWO,33.0,False,Shop no. 10/11 kasam Chunawlaa Compound Shastri Nagar Kalina Near Bimsillah Hotel Santacruz East       400029,Non-Veg,Medium,Restaurant: Meraki. Area: Santacruz East. Cuisine: ['Chinese' 'Burmese' 'Thai' 'Beverages' 'Thalis']. Budget: Medium. Rating: 4.1. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: Shop no. 10/11 kasam Chunawlaa Compound Shastri Nagar Kalina Near Bimsillah Hotel Santacruz East       400029.
Taj King Shawarma,Mumbai,Kurla,4.1,100+ ratings,['Indian'],₹200 FOR TWO,28.0,False,Shop 4 Near Kurla Weigst Vridge Kurla Mumbai,Non-Veg,Low,Restaurant: Taj King Shawarma. Area: Kurla. Cuisine: ['Indian']. Budget: Low. Rating: 4.1. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 28.0 mins. Address: Shop 4 Near Kurla Weigst Vridge Kurla Mumbai.
Persian Darbar,Mumbai,Kurla West,4,500+ ratings,['Mughlai' 'North Indian' 'Chinese' 'Biryani'],₹1100 FOR TWO,36.0,False,SHOP NO.17KANAKIA ZILLON BLDGF WING Z6 L.B.S.ROADKURLA WEST NEAR KURLA BUS DepotEPOTMUMBAI400070,Non-Veg,Low,Restaurant: Persian Darbar. Area: Kurla West. Cuisine: ['Mughlai' 'North Indian' 'Chinese' 'Biryani']. Budget: Low. Rating: 4. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 36.0 mins. Address: SHOP NO.17KANAKIA ZILLON BLDGF WING Z6 L.B.S.ROADKURLA WEST NEAR KURLA BUS DepotEPOTMUMBAI400070.
Kurla Juicy Hut,Mumbai,Kurla West,4.1,100+ ratings,['Beverages' 'Desserts'],₹300 FOR TWO,35.0,False,Shop 4 168 L.B.S. Marg Beside Salman Chambers Near Kalpana Cinema Kurla Mumbai,Non-Veg,Medium,Restaurant: Kurla Juicy Hut. Area: Kurla West. Cuisine: ['Beverages' 'Desserts']. Budget: Medium. Rating: 4.1. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: Shop 4 168 L.B.S. Marg Beside Salman Chambers Near Kalpana Cinema Kurla Mumbai.
Burger King,Mumbai,Santacruz East,4.2,1000+ ratings,['American'],₹350 FOR TWO,33.0,False,unit no G2 Ground floor  Central Plaza  166CST Road Kalina Mumbai 400098,Non-Veg,Medium,Restaurant: Burger King. Area: Santacruz East. Cuisine: ['American']. Budget: Medium. Rating: 4.2. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: unit no G2 Ground floor  Central Plaza  166CST Road Kalina Mumbai 400098.
J.J Jalebi,Mumbai,Mumbai,3.6,500+ ratings,['Desserts' 'Sweets'],₹100 FOR TWO,25.0,False,JJ Jalebi LBS Marg Opposite Kalpana Theatre Kurla West Mumbai- 400070,Non-Veg,Low,Restaurant: J.J Jalebi. Area: Mumbai. Cuisine: ['Desserts' 'Sweets']. Budget: Low. Rating: 3.6. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 25.0 mins. Address: JJ Jalebi LBS Marg Opposite Kalpana Theatre Kurla West Mumbai- 400070.
Oye Kiddan,Mumbai,Chembur,4,1000+ ratings,['North Indian'],₹300 FOR TWO,39.0,False,Shop 18 Near Shanta Jog MargNear railway crossing Behind Kalpana tailors Chembur Mumbai,Non-Veg,Medium,Restaurant: Oye Kiddan. Area: Chembur. Cuisine: ['North Indian']. Budget: Medium. Rating: 4. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 39.0 mins. Address: Shop 18 Near Shanta Jog MargNear railway crossing Behind Kalpana tailors Chembur Mumbai.
Sahara Hotel - Kurla,Mumbai,Kurla,4.2,500+ ratings,['North Indian' 'Chinese' 'Mughlai' 'Beverages'],₹650 FOR TWO,31.0,False,Near Kalpana Cinema LBS Marg Kurla West Kurla Mumbai,Non-Veg,High,Restaurant: Sahara Hotel - Kurla. Area: Kurla. Cuisine: ['North Indian' 'Chinese' 'Mughlai' 'Beverages']. Budget: High. Rating: 4.2. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 31.0 mins. Address: Near Kalpana Cinema LBS Marg Kurla West Kurla Mumbai.
SHALIMAR JUICY,Mumbai,Kurla,--,Too Few Ratings,['Indian' 'Beverages' 'Snacks' 'Desserts' 'Pizzas'],₹200 FOR TWO,38.0,False,22 near Kalpana Cinema Hall Friends Colony Sector 12 Kurla Navi Mumbai Maharashtra 410210 India,Non-Veg,Low,Restaurant: SHALIMAR JUICY. Area: Kurla. Cuisine: ['Indian' 'Beverages' 'Snacks' 'Desserts' 'Pizzas']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 38.0 mins. Address: 22 near Kalpana Cinema Hall Friends Colony Sector 12 Kurla Navi Mumbai Maharashtra 410210 India.
Deliciae by Bunty Mahajan,Mumbai,Santacruz East,4.6,1000+ ratings,['Bakery' 'Desserts'],₹1200 FOR TWO,51.0,False,Deliciae 9F 1st Floor Shanti Nagar Industrial Estate Vakola Santacruz East Mumbai Maharashtra,Non-Veg,Low,Restaurant: Deliciae by Bunty Mahajan. Area: Santacruz East. Cuisine: ['Bakery' 'Desserts']. Budget: Low. Rating: 4.6. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 51.0 mins. Address: Deliciae 9F 1st Floor Shanti Nagar Industrial Estate Vakola Santacruz East Mumbai Maharashtra.
Brownie Bee The Cake Boutique,Mumbai,Kurla,3.8,20+ ratings,['Desserts'],₹200 FOR TWO,32.0,True,217-218 SAFIABAI ABDUL ALI BLDG SHOP NO.8 BAZAR ROAD NR SHALIMAR HOTEL KURAL WEST MUMBAI GREATER MUMBAI WARD-L GREATER MUMBAI MAHARASHTRA,Veg,Low,Restaurant: Brownie Bee The Cake Boutique. Area: Kurla. Cuisine: ['Desserts']. Budget: Low. Rating: 3.8. Reviews: 20+ ratings. Diet: Veg. Delivery: 32.0 mins. Address: 217-218 SAFIABAI ABDUL ALI BLDG SHOP NO.8 BAZAR ROAD NR SHALIMAR HOTEL KURAL WEST MUMBAI GREATER MUMBAI WARD-L GREATER MUMBAI MAHARASHTRA.
Birthday Party Cake Shop,Mumbai,Kurla,--,Too Few Ratings,['Bakery' 'Desserts'],₹500 FOR TWO,38.0,True,SAFIABAI BLD SHOP 8 BAZAR ROAD NEAR SHALIMAR HOTEL 400070,Veg,Medium,Restaurant: Birthday Party Cake Shop. Area: Kurla. Cuisine: ['Bakery' 'Desserts']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 38.0 mins. Address: SAFIABAI BLD SHOP 8 BAZAR ROAD NEAR SHALIMAR HOTEL 400070.
KFC,Mumbai,Saki Naka,4.3,1000+ ratings,['American' 'Fast Food' 'Snacks'],₹400 FOR TWO,41.0,False,Sagar Pallazio Magan Nathuram Rd Safed Pul Sakinaka Mumbai Maharashtra 400072,Non-Veg,Medium,Restaurant: KFC. Area: Saki Naka. Cuisine: ['American' 'Fast Food' 'Snacks']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 41.0 mins. Address: Sagar Pallazio Magan Nathuram Rd Safed Pul Sakinaka Mumbai Maharashtra 400072.
