name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
PK Biryani House (Deccan),Pune,Narayan Peth,4.1,1000+ ratings,['Biryani' 'Maharashtrian' 'North Indian' 'Mughlai' 'Hyderabadi' 'Indian'],₹200 FOR TWO,36.0,False,Deccan Gymkhana Pune Maharashtra 411004,Non-Veg,Low,Restaurant: PK Biryani House (Deccan). Area: Narayan Peth. Cuisine: ['Biryani' 'Maharashtrian' 'North Indian' 'Mughlai' 'Hyderabadi' 'Indian']. Budget: Low. Rating: 4.1. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 36.0 mins. Address: Deccan Gymkhana Pune Maharashtra 411004.
Chaitanya Paranthas,Pune,Shivajinagar,4.2,1000+ ratings,['North Indian' 'Punjabi' 'Chinese' 'Thalis' 'Combo' 'Beverages' 'Desserts'],₹200 FOR TWO,35.0,True,Opposite Fergusson College gate 3 Tukaram Paduka Chowk FC Road Pune,Veg,Low,Restaurant: Chaitanya Paranthas. Area: Shivajinagar. Cuisine: ['North Indian' 'Punjabi' 'Chinese' 'Thalis' 'Combo' 'Beverages' 'Desserts']. Budget: Low. Rating: 4.2. Reviews: 1000+ ratings. Diet: Veg. Delivery: 35.0 mins. Address: Opposite Fergusson College gate 3 Tukaram Paduka Chowk FC Road Pune.
Oven Story Pizza,Pune,Erandwane,4,100+ ratings,['Pizzas'],₹600 FOR TWO,46.0,False,Ask Building P No 74/1 CTS no 128/1 Law College Rd Erandwane Pune 411004,Non-Veg,High,Restaurant: Oven Story Pizza. Area: Erandwane. Cuisine: ['Pizzas']. Budget: High. Rating: 4. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 46.0 mins. Address: Ask Building P No 74/1 CTS no 128/1 Law College Rd Erandwane Pune 411004.
Madinah,Pune,Bhawani Peth,4,500+ ratings,['Mughlai' 'North Indian' 'Chinese' 'Biryani'],₹200 FOR TWO,34.0,False,717 Poona College Road Bhawani Peth Near Poona College Pune,Non-Veg,Low,Restaurant: Madinah. Area: Bhawani Peth. Cuisine: ['Mughlai' 'North Indian' 'Chinese' 'Biryani']. Budget: Low. Rating: 4. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 34.0 mins. Address: 717 Poona College Road Bhawani Peth Near Poona College Pune.
MH 12 Pav Bhaji,Pune,Rasta Peth,4.1,500+ ratings,['Snacks' 'Pizzas' 'Beverages' 'Street Food'],₹250 FOR TWO,27.0,True,326 Near Laxmi Sugandhalay Rasta Peth Pune,Veg,Low,Restaurant: MH 12 Pav Bhaji. Area: Rasta Peth. Cuisine: ['Snacks' 'Pizzas' 'Beverages' 'Street Food']. Budget: Low. Rating: 4.1. Reviews: 500+ ratings. Diet: Veg. Delivery: 27.0 mins. Address: 326 Near Laxmi Sugandhalay Rasta Peth Pune.
The Good Bowl,Pune,Shaniwar Peth,4.4,50+ ratings,['North Indian' 'Punjabi' 'Biryani' 'Combo' 'Chinese' 'Beverages' 'Desserts' 'Jain' 'Indian' 'Hyderabadi' 'Mughlai'],₹400 FOR TWO,33.0,False,Ground Floor subhmangal Housing societysenapati bapat roadshivaji nagarpune 411016,Non-Veg,Medium,Restaurant: The Good Bowl. Area: Shaniwar Peth. Cuisine: ['North Indian' 'Punjabi' 'Biryani' 'Combo' 'Chinese' 'Beverages' 'Desserts' 'Jain' 'Indian' 'Hyderabadi' 'Mughlai']. Budget: Medium. Rating: 4.4. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: Ground Floor subhmangal Housing societysenapati bapat roadshivaji nagarpune 411016.
Aroma's Hyderabad House - Karve Road,Pune,Erandwane,4.2,500+ ratings,['Biryani' 'Mughlai' 'North Indian' 'Chinese'],₹400 FOR TWO,35.0,False,11/4 Butte Bhavan Opposite Kasat Saree Centre Karve Road Nal Stop Erandwane Pune,Non-Veg,Medium,Restaurant: Aroma's Hyderabad House - Karve Road. Area: Erandwane. Cuisine: ['Biryani' 'Mughlai' 'North Indian' 'Chinese']. Budget: Medium. Rating: 4.2. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: 11/4 Butte Bhavan Opposite Kasat Saree Centre Karve Road Nal Stop Erandwane Pune.
Ramsar Bakery,Pune,Shivajinagar,4.1,100+ ratings,['Desserts' 'Fast Food' 'Bakery'],₹150 FOR TWO,27.0,True,Opposite PMC Building Shivaji Nagar Pune,Veg,Low,Restaurant: Ramsar Bakery. Area: Shivajinagar. Cuisine: ['Desserts' 'Fast Food' 'Bakery']. Budget: Low. Rating: 4.1. Reviews: 100+ ratings. Diet: Veg. Delivery: 27.0 mins. Address: Opposite PMC Building Shivaji Nagar Pune.
McDonald's,Pune,Shivajinagar,4.3,1000+ ratings,['American' 'Fast Food'],₹400 FOR TWO,34.0,False,Suyog Plaza Plot No. 1278 Jangli Maharaj Road Shivaji Nagar Pune 411004.,Non-Veg,Medium,Restaurant: McDonald's. Area: Shivajinagar. Cuisine: ['American' 'Fast Food']. Budget: Medium. Rating: 4.3. Reviews: 1000+ ratings. Diet: Non-Veg. Delivery: 34.0 mins. Address: Suyog Plaza Plot No. 1278 Jangli Maharaj Road Shivaji Nagar Pune 411004..
Jannat Restaurant,Pune,Camp,4,50+ ratings,['North Indian'],₹200 FOR TWO,33.0,False,Shop 01 Maganbai Patel Near Chhatrapati Shivaji Market Camp Area PuneMaharashtra 411001,Non-Veg,Low,Restaurant: Jannat Restaurant. Area: Camp. Cuisine: ['North Indian']. Budget: Low. Rating: 4. Reviews: 50+ ratings. Diet: Non-Veg. Delivery: 33.0 mins. Address: Shop 01 Maganbai Patel Near Chhatrapati Shivaji Market Camp Area PuneMaharashtra 411001.
Shahji's Parantha House (Laxmi Road),Pune,Raviwar Peth,4.3,100+ ratings,['North Indian'],₹500 FOR TWO,35.0,True,6Devang ApartmentsRaviwar PethLaxmi RoadRasta PethPune,Veg,Medium,Restaurant: Shahji's Parantha House (Laxmi Road). Area: Raviwar Peth. Cuisine: ['North Indian']. Budget: Medium. Rating: 4.3. Reviews: 100+ ratings. Diet: Veg. Delivery: 35.0 mins. Address: 6Devang ApartmentsRaviwar PethLaxmi RoadRasta PethPune.
Behrouz Biryani,Pune,Erandwane,4.2,100+ ratings,['Biryani' 'Mughlai' 'Lucknowi' 'Hyderabadi' 'Kebabs' 'North Indian' 'Persian' 'Desserts'],₹500 FOR TWO,45.0,False,Ask Building P No 74/1 CTS no 128/1 Law College Rd Erandwane Pune 411004,Non-Veg,Medium,Restaurant: Behrouz Biryani. Area: Erandwane. Cuisine: ['Biryani' 'Mughlai' 'Lucknowi' 'Hyderabadi' 'Kebabs' 'North Indian' 'Persian' 'Desserts']. Budget: Medium. Rating: 4.2. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 45.0 mins. Address: Ask Building P No 74/1 CTS no 128/1 Law College Rd Erandwane Pune 411004.
Bebe Di Rasoi - Punjabi,Pune,Shivajinagar,4.1,500+ ratings,['North Indian' 'Punjabi' 'Biryani' 'Kebabs' 'Mughlai' 'Desserts' 'Beverages'],₹300 FOR TWO,48.0,False,NICE Foods ETERNIA Rooftop Terrace Level B Wing MCCIA Trade Tower Next to Pavilion Mall SB Road Pune,Non-Veg,Medium,Restaurant: Bebe Di Rasoi - Punjabi. Area: Shivajinagar. Cuisine: ['North Indian' 'Punjabi' 'Biryani' 'Kebabs' 'Mughlai' 'Desserts' 'Beverages']. Budget: Medium. Rating: 4.1. Reviews: 500+ ratings. Diet: Non-Veg. Delivery: 48.0 mins. Address: NICE Foods ETERNIA Rooftop Terrace Level B Wing MCCIA Trade Tower Next to Pavilion Mall SB Road Pune.
Aarz Restaurant,Pune,Swargate,--,Too Few Ratings,['Indian'],₹240 FOR TWO,32.0,False,1234 Near maton market Bhoiali Kasba Peth Pune Maharashtra 411011 India,Non-Veg,Low,Restaurant: Aarz Restaurant. Area: Swargate. Cuisine: ['Indian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 32.0 mins. Address: 1234 Near maton market Bhoiali Kasba Peth Pune Maharashtra 411011 India.
Firangi Bake,Pune,Shaniwar Peth,4.4,20+ ratings,['Italian' 'Mexican' 'Pastas'],₹400 FOR TWO,38.0,False,Shop No.1  Ground Floor S. No 457 beside vinayak jewellers Shaniwar peth Pune 411030,Non-Veg,Medium,Restaurant: Firangi Bake. Area: Shaniwar Peth. Cuisine: ['Italian' 'Mexican' 'Pastas']. Budget: Medium. Rating: 4.4. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 38.0 mins. Address: Shop No.1  Ground Floor S. No 457 beside vinayak jewellers Shaniwar peth Pune 411030.
Pure Veg Meals by Lunchbox,Pune,Shaniwar Peth,--,Too Few Ratings,['North Indian' 'Desserts' 'Biryani'],₹200 FOR TWO,34.0,True,S.no 457 shaniwar peth Pune 411030,Veg,Low,Restaurant: Pure Veg Meals by Lunchbox. Area: Shaniwar Peth. Cuisine: ['North Indian' 'Desserts' 'Biryani']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 34.0 mins. Address: S.no 457 shaniwar peth Pune 411030.
Haka,Pune,Shivajinagar,4.5,100+ ratings,['Chinese' 'Asian' 'Seafood'],₹500 FOR TWO,52.0,False,Plot no.403 Unit No. 7 Gr.Floor ICC Tech Park Pyramid Mall Senapati Bapat Road Pune,Non-Veg,Medium,Restaurant: Haka. Area: Shivajinagar. Cuisine: ['Chinese' 'Asian' 'Seafood']. Budget: Medium. Rating: 4.5. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 52.0 mins. Address: Plot no.403 Unit No. 7 Gr.Floor ICC Tech Park Pyramid Mall Senapati Bapat Road Pune.
Sweet Truth - Cake and Desserts,Pune,Shaniwar Peth,4.5,20+ ratings,['Bakery' 'Desserts' 'Beverages'],₹450 FOR TWO,29.0,False,S.no 457 shaniwar peth Pune 411030,Non-Veg,Medium,Restaurant: Sweet Truth - Cake and Desserts. Area: Shaniwar Peth. Cuisine: ['Bakery' 'Desserts' 'Beverages']. Budget: Medium. Rating: 4.5. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 29.0 mins. Address: S.no 457 shaniwar peth Pune 411030.
Faasos,Pune,Shaniwar Peth,4.3,100+ ratings,['Combo' 'Snacks' 'Beverages' 'Desserts' 'Indian'],₹200 FOR TWO,30.0,False,S.no 457 shaniwar peth Pune 411030,Non-Veg,Low,Restaurant: Faasos. Area: Shaniwar Peth. Cuisine: ['Combo' 'Snacks' 'Beverages' 'Desserts' 'Indian']. Budget: Low. Rating: 4.3. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 30.0 mins. Address: S.no 457 shaniwar peth Pune 411030.
Amhi Kolhapuri - Shivajinagar Canteen,Pune,JM Road,3.7,100+ ratings,['Maharashtrian' 'Indian' 'Biryani' 'Beverages'],₹200 FOR TWO,35.0,False,Amhi Kolhapuri Besides bharat petrol pump Shrirang House Shop no 7 Ground floor Shivajinagar Pune Maharashtra 411005,Non-Veg,Low,Restaurant: Amhi Kolhapuri - Shivajinagar Canteen. Area: JM Road. Cuisine: ['Maharashtrian' 'Indian' 'Biryani' 'Beverages']. Budget: Low. Rating: 3.7. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 35.0 mins. Address: Amhi Kolhapuri Besides bharat petrol pump Shrirang House Shop no 7 Ground floor Shivajinagar Pune Maharashtra 411005.
LunchBox,Pune,Narayan Peth,4.1,100+ ratings,['North Indian' 'Punjabi' 'Combo' 'Biryani' 'Healthy Food' 'Jain' 'Thalis' 'Indian' 'Mughlai' 'Desserts'],₹200 FOR TWO,31.0,False,S.no 457 shaniwar peth Pune 411030,Non-Veg,Low,Restaurant: LunchBox. Area: Narayan Peth. Cuisine: ['North Indian' 'Punjabi' 'Combo' 'Biryani' 'Healthy Food' 'Jain' 'Thalis' 'Indian' 'Mughlai' 'Desserts']. Budget: Low. Rating: 4.1. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 31.0 mins. Address: S.no 457 shaniwar peth Pune 411030.
Tiranga Budhwar peth (Main Branch),Pune,Budhwar Peth,4.1,100+ ratings,['Biryani' 'Maharashtrian' 'North Indian'],₹400 FOR TWO,32.0,False,Near Pasodya Vithoba Mandir  Budhwar Peth  Pune,Non-Veg,Medium,Restaurant: Tiranga Budhwar peth (Main Branch). Area: Budhwar Peth. Cuisine: ['Biryani' 'Maharashtrian' 'North Indian']. Budget: Medium. Rating: 4.1. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 32.0 mins. Address: Near Pasodya Vithoba Mandir  Budhwar Peth  Pune.
FISH CURRY RICE,Pune,Sadashiv Peth,4.5,100+ ratings,['Maharashtrian' 'Seafood' 'Malwani'],₹1000 FOR TWO,34.0,False,2023 Sadashiv peth opp. Grahk Peth Tilak Road opposite Grahak Peth Vijayanagar Colony 411030,Non-Veg,Low,Restaurant: FISH CURRY RICE. Area: Sadashiv Peth. Cuisine: ['Maharashtrian' 'Seafood' 'Malwani']. Budget: Low. Rating: 4.5. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 34.0 mins. Address: 2023 Sadashiv peth opp. Grahk Peth Tilak Road opposite Grahak Peth Vijayanagar Colony 411030.
Hotel Yatrik,Pune,Raviwar Peth,4,20+ ratings,['Indian' 'South Indian'],₹500 FOR TWO,30.0,True,Moti Chowk Raviwar Peth Budhwar Peth Pune,Veg,Medium,Restaurant: Hotel Yatrik. Area: Raviwar Peth. Cuisine: ['Indian' 'South Indian']. Budget: Medium. Rating: 4. Reviews: 20+ ratings. Diet: Veg. Delivery: 30.0 mins. Address: Moti Chowk Raviwar Peth Budhwar Peth Pune.
Natural Ice Cream,Pune,Shivajinagar,4.7,100+ ratings,['Ice Cream'],₹150 FOR TWO,28.0,True,Shop No.5 Pragati Bhavan Opp. Tata Home Finance Ghole Road Nea Bal gandharva Chowk,Veg,Low,Restaurant: Natural Ice Cream. Area: Shivajinagar. Cuisine: ['Ice Cream']. Budget: Low. Rating: 4.7. Reviews: 100+ ratings. Diet: Veg. Delivery: 28.0 mins. Address: Shop No.5 Pragati Bhavan Opp. Tata Home Finance Ghole Road Nea Bal gandharva Chowk.
Sahare Dining Hall,Pune,Agarkar Nagar,4.4,100+ ratings,['Gujarati' 'Rajasthani' 'Combo' 'Beverages'],₹300 FOR TWO,28.0,True,Sadhu Vaswani Chowk Camp Area Pune,Veg,Medium,Restaurant: Sahare Dining Hall. Area: Agarkar Nagar. Cuisine: ['Gujarati' 'Rajasthani' 'Combo' 'Beverages']. Budget: Medium. Rating: 4.4. Reviews: 100+ ratings. Diet: Veg. Delivery: 28.0 mins. Address: Sadhu Vaswani Chowk Camp Area Pune.
Poona Cafe,Pune,Rasta Peth,4.3,50+ ratings,['North Indian' 'Chinese' 'South Indian'],₹200 FOR TWO,29.0,True,340/341 Opposite Central Bank Rasta Peth Pune,Veg,Low,Restaurant: Poona Cafe. Area: Rasta Peth. Cuisine: ['North Indian' 'Chinese' 'South Indian']. Budget: Low. Rating: 4.3. Reviews: 50+ ratings. Diet: Veg. Delivery: 29.0 mins. Address: 340/341 Opposite Central Bank Rasta Peth Pune.
Annapurna Catering And Service Provider,Pune,Swargate,--,Too Few Ratings,['Chinese' 'Indian'],₹300 FOR TWO,50.0,False,SR.No.366/1 Shaniwar Peth Pune Pune City-411030,Non-Veg,Medium,Restaurant: Annapurna Catering And Service Provider. Area: Swargate. Cuisine: ['Chinese' 'Indian']. Budget: Medium. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 50.0 mins. Address: SR.No.366/1 Shaniwar Peth Pune Pune City-411030.
