name,city,area,avgrating,totalratingsstring,cuisines,costfortwostrings,deliverytime,veg,address,diet,price_level,rag_text
Ministry of Eggs,Surat,Piplod,3.8,100+ ratings,['Fast Food' 'Chinese' 'Indian' 'Desserts' 'Punjabi' 'Asian'],₹300 FOR TWO,60.0,False,G 22-23 Safal Square UM road Vesu Surat,Non-Veg,Medium,Restaurant: Ministry of Eggs. Area: Piplod. Cuisine: ['Fast Food' 'Chinese' 'Indian' 'Desserts' 'Punjabi' 'Asian']. Budget: Medium. Rating: 3.8. Reviews: 100+ ratings. Diet: Non-Veg. Delivery: 60.0 mins. Address: G 22-23 Safal Square UM road Vesu Surat.
Sarvottam Restaurant,Surat,Udhna,3.9,100+ ratings,['Beverages' 'Chinese' 'Punjabi'],₹300 FOR TWO,22.0,True,Shop No.1-16 First floor Tulsi plaza complex Udhna main Road surat,Veg,Medium,Restaurant: Sarvottam Restaurant. Area: Udhna. Cuisine: ['Beverages' 'Chinese' 'Punjabi']. Budget: Medium. Rating: 3.9. Reviews: 100+ ratings. Diet: Veg. Delivery: 22.0 mins. Address: Shop No.1-16 First floor Tulsi plaza complex Udhna main Road surat.
Jalaram Restaurant -Udhna,Surat,Khatodra Wadi,3.9,100+ ratings,['Gujarati' 'Punjabi' 'Chinese'],₹350 FOR TWO,26.0,True,63 somakanji ni wadi behind savera complex near rokadiya Hanuman temple brts canal road khatodra.,Veg,Medium,Restaurant: Jalaram Restaurant -Udhna. Area: Khatodra Wadi. Cuisine: ['Gujarati' 'Punjabi' 'Chinese']. Budget: Medium. Rating: 3.9. Reviews: 100+ ratings. Diet: Veg. Delivery: 26.0 mins. Address: 63 somakanji ni wadi behind savera complex near rokadiya Hanuman temple brts canal road khatodra..
Go China - Vesu,Surat,Vesu,4.3,100+ ratings,['Chinese' 'Thai' 'Pan-Asian' 'Combo'],₹300 FOR TWO,51.0,True,8 Western Business Park Near S.D. Jain School Vesu Surat,Veg,Medium,Restaurant: Go China - Vesu. Area: Vesu. Cuisine: ['Chinese' 'Thai' 'Pan-Asian' 'Combo']. Budget: Medium. Rating: 4.3. Reviews: 100+ ratings. Diet: Veg. Delivery: 51.0 mins. Address: 8 Western Business Park Near S.D. Jain School Vesu Surat.
La Pino'z Pizza,Surat,Nanpura,4.2,1000+ ratings,['Pizzas' 'Italian' 'Snacks' 'Desserts' 'Beverages'],₹300 FOR TWO,32.0,True,UG-2 President Plaza Opposite Yes Bank Near Old RTO Nanpura Surat,Veg,Medium,Restaurant: La Pino'z Pizza. Area: Nanpura. Cuisine: ['Pizzas' 'Italian' 'Snacks' 'Desserts' 'Beverages']. Budget: Medium. Rating: 4.2. Reviews: 1000+ ratings. Diet: Veg. Delivery: 32.0 mins. Address: UG-2 President Plaza Opposite Yes Bank Near Old RTO Nanpura Surat.
Bhandari Vishwas Tiffin Corner,Surat,Athwa,3.8,20+ ratings,['Thalis' 'North Indian'],₹200 FOR TWO,30.0,False,Plot no C 72 shiv krupa society amba nagar UM road behind unique hospital Inderpura surat (395002),Non-Veg,Low,Restaurant: Bhandari Vishwas Tiffin Corner. Area: Athwa. Cuisine: ['Thalis' 'North Indian']. Budget: Low. Rating: 3.8. Reviews: 20+ ratings. Diet: Non-Veg. Delivery: 30.0 mins. Address: Plot no C 72 shiv krupa society amba nagar UM road behind unique hospital Inderpura surat (395002).
Petite Point,Surat,Athwa,3.9,100+ ratings,['North Indian' 'Punjabi' 'Rajasthani' 'Gujarati' 'Thalis' 'Chinese' 'Home Food' 'Desserts' 'Sweets' 'Snacks' 'Indian' 'Beverages'],₹250 FOR TWO,28.0,True,Surya Plaza Udhana - Magdalla Rd Bhatar Char Rasta Yogikrupa Society Bhatar Athwa Surat Gujarat 395007,Veg,Low,Restaurant: Petite Point. Area: Athwa. Cuisine: ['North Indian' 'Punjabi' 'Rajasthani' 'Gujarati' 'Thalis' 'Chinese' 'Home Food' 'Desserts' 'Sweets' 'Snacks' 'Indian' 'Beverages']. Budget: Low. Rating: 3.9. Reviews: 100+ ratings. Diet: Veg. Delivery: 28.0 mins. Address: Surya Plaza Udhana - Magdalla Rd Bhatar Char Rasta Yogikrupa Society Bhatar Athwa Surat Gujarat 395007.
New Egg Zone,Surat,Athwa,--,Too Few Ratings,['Fast Food' 'Indian'],₹100 FOR TWO,30.0,False,BL No 15/A A/7 South Part RD No 15 U U N V Udhna SMC Gujarat 394210,Non-Veg,Low,Restaurant: New Egg Zone. Area: Athwa. Cuisine: ['Fast Food' 'Indian']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Non-Veg. Delivery: 30.0 mins. Address: BL No 15/A A/7 South Part RD No 15 U U N V Udhna SMC Gujarat 394210.
SHREE RADHEY FASTFOOD,Surat,Athwa,--,Too Few Ratings,['Chinese' 'Combo' 'Snacks'],₹100 FOR TWO,30.0,True,Navrang Ind soc UM Rd behind Sarvodaya petrol pump Near Sosyo Circle Udhna Surat Gujarat 395017 India,Veg,Low,Restaurant: SHREE RADHEY FASTFOOD. Area: Athwa. Cuisine: ['Chinese' 'Combo' 'Snacks']. Budget: Low. Rating: --. Reviews: Too Few Ratings. Diet: Veg. Delivery: 30.0 mins. Address: Navrang Ind soc UM Rd behind Sarvodaya petrol pump Near Sosyo Circle Udhna Surat Gujarat 395017 India.
New Taj Mahal Restaurant,Surat,Varachha,3.7,100+ ratings,['Punjabi' 'Chinese'],₹180 FOR TWO,41.0,True,238-B Ground Floor Hotel Limra Kolsawad Manchharpura Surat,Veg,Low,Restaurant: New Taj Mahal Restaurant. Area: Varachha. Cuisine: ['Punjabi' 'Chinese']. Budget: Low. Rating: 3.7. Reviews: 100+ ratings. Diet: Veg. Delivery: 41.0 mins. Address: 238-B Ground Floor Hotel Limra Kolsawad Manchharpura Surat.
